,OBJECTID,COD_VIA,DESIGNACAO,HIERARQUIA,EIXO,TIPOLOGIA,SITUACAO,IDTIPO,SE_ANNO_CAD_DATA,GlobalID,Shape__Length,geometry
23,98,,Alameda Manuel Ricardo Espírito Santo,Local,,Pista Ciclável Bidirecional,Executado,9196,,6ddbe941-94bd-4365-bb37-3d5bbbb509d8,358.683804000904,"LINESTRING (-9.18978202478282 38.7469466971335, -9.18977989667389 38.7469637787553, -9.18977816562035 38.7469776648827, -9.18977808926353 38.7469781546104, -9.189777952719609 38.7469788818455, -9.18977469991998 38.7470047232064, -9.1897745184603 38.7470303382604, -9.18977746572188 38.7470565553724, -9.18978356269858 38.7470824399008, -9.18979059920218 38.7471025719488, -9.189806821877889 38.7471359006871, -9.18981812406137 38.7471534400553, -9.18983103866135 38.7471702887321, -9.189835313743769 38.7471753036977, -9.189863532521789 38.7472035319645, -9.18987781214155 38.7472150920218, -9.18991194722402 38.7472375745765, -9.189928261527911 38.7472441869264, -9.189946840484611 38.747251700259, -9.18997779014108 38.7472642152386, -9.190007387833081 38.7472761837411, -9.190011050264481 38.7472776648283, -9.190011330538869 38.74727778183, -9.190031183306621 38.7472863138442, -9.190031561497371 38.7472864833915, -9.190040125136971 38.7472904733584, -9.19006668113339 38.7473028468083, -9.190078587404191 38.7473083942271, -9.19007941834581 38.7473088173947, -9.190115544094979 38.7473267830978, -9.190145043870601 38.7473387228648, -9.19017971104979 38.7473500222194, -9.190215517602921 38.7473589010807, -9.190216461732311 38.7473591308801, -9.19023669179251 38.7473652724102, -9.19026746088762 38.7473766839125, -9.190267814823841 38.747376836645, -9.19029397645985 38.7473890622517, -9.19030759312292 38.7473958588474, -9.190353850970149 38.7474213595621, -9.190354039616381 38.7474214695575, -9.19035969181615 38.747424420516, -9.19036594049726 38.7474271416752, -9.19040205905989 38.7474415356528, -9.19042030114838 38.7474488058539, -9.190432517337911 38.7474536736725, -9.19046214467431 38.7474654810036, -9.19052326065634 38.7474898362014, -9.19054841258597 38.7474998604826, -9.19055270804709 38.747502257823, -9.19055641615415 38.7475051915302, -9.190559428193721 38.7475085755945, -9.190561655859531 38.7475123108025, -9.190563033841389 38.7475162876464, -9.19056352173995 38.7475203895337, -9.19056310525111 38.7475244962064, -9.19056179658539 38.747528487266, -9.19056080664196 38.7475304244427, -9.19055398393737 38.7475415164421, -9.19045938594806 38.7476952895458, -9.19045139902687 38.7477082710504, -9.190446045743199 38.7477220210013, -9.190442961151399 38.747736188038, -9.19044219399014 38.7477429012288, -9.190439381365 38.7477675239627, -9.190436319008191 38.7477943283683, -9.19043390703165 38.747815436857, -9.1904309003704 38.7478417578284, -9.190427805674259 38.7478688529564, -9.190425068507579 38.7478928023676, -9.19042342728555 38.7479071668259, -9.19042226935715 38.7479323289671, -9.19042488704789 38.7479596342414, -9.19042671152623 38.7479703359388, -9.19043240055692 38.7480036950986, -9.190436922676071 38.7480302051629, -9.190442041276571 38.7480602203253, -9.190449542209169 38.748104202653, -9.19045322530183 38.748125795165, -9.19045384961581 38.7481326848342, -9.19045338312702 38.7481395820978, -9.19045183291316 38.748146382309, -9.19044049168267 38.7481829080985, -9.190430887793971 38.7482138367786, -9.19042673128917 38.7482272224348, -9.1904225954456 38.7482405471364, -9.190418450618891 38.7482538907517, -9.190414440539451 38.7482668084001, -9.190401925210921 38.7483071124572, -9.190387917780679 38.7483522253986, -9.190358779127831 38.7484460655778, -9.19035733912842 38.7484507294546, -9.19034366856642 38.7484947290566, -9.190336640147629 38.7485173625372, -9.190333030716831 38.748528988238, -9.190328804143419 38.7485425994272, -9.19032058006699 38.7485690861718, -9.19031675773547 38.748581397047, -9.19031225268429 38.7485959056896, -9.190307307458671 38.7486118288321, -9.19030425588163 38.7486216588908, -9.190298779751661 38.7486392949835, -9.190295685953821 38.7486492560497, -9.19028869077273 38.7486717864938, -9.19028783377993 38.7486745461383, -9.19027942105731 38.748701639549, -9.19027140000013 38.7487274697775, -9.19026677008315 38.7487423819328, -9.190263222636119 38.7487538058257, -9.19026134425885 38.7487598533561, -9.19025783512321 38.7487742525423, -9.19025617714931 38.7487888523503, -9.190256770037401 38.7488075224784, -9.19025984675517 38.7488239917453, -9.190265285167991 38.7488400853727, -9.190272146910621 38.7488540860702, -9.19028079997126 38.7488674694669, -9.19029662548699 38.7488857730722, -9.190315792944849 38.7489020178142, -9.190317658745689 38.7489033195158, -9.190320240503819 38.7489051564704, -9.190340983502031 38.7489187234506, -9.19035224388411 38.7489256039717, -9.190399668642909 38.7489512673781, -9.190428106609859 38.7489643691562, -9.19045622297994 38.7489758238396, -9.1904941184102 38.7489891056654)"
24,101,,Quinta da Paz - Cemitério de Carnide,Local,,Pista Ciclável Bidirecional,Executado,9196,,10973afc-c5c1-4605-8338-6272f5436dad,11.6219550235891,"LINESTRING (-9.18878150906712 38.7688680023525, -9.18876292911953 38.768872481158, -9.188745580947341 38.7688793340738, -9.1887002708227 38.7689100723833, -9.18869614216568 38.7689128410507)"
25,102,100031,Campo Grande,Principal,Central,Pista Ciclável Bidirecional,Executado,9196,,8fa686f1-5364-4cc6-b4d1-6fdfd59933c0,668.99318990093,"LINESTRING (-9.152885408828761 38.7542177368654, -9.15304426151369 38.7544327465111, -9.15308949438321 38.7544922292228, -9.15310203755951 38.7545087507106, -9.15313459340372 38.7545516313233, -9.15313650142539 38.7545541987931, -9.153164792068649 38.7545970611645, -9.15316742053915 38.7546015460024, -9.15317117370043 38.7546150929855, -9.153184120220301 38.7546625725558, -9.15319300815171 38.7546854261508, -9.153200659102991 38.754699820066, -9.15322013637496 38.7547270947305, -9.153228655997131 38.7547369848936, -9.153246345621699 38.7547564513759, -9.15329377936364 38.7548058440133, -9.153398203125541 38.7549105080667, -9.15345017605461 38.7549625177904, -9.15349984031341 38.7550143411345, -9.15354140446331 38.7550559899072, -9.153609264098179 38.7551229250586, -9.153674343447239 38.7551870419101, -9.153720672261381 38.755235955787, -9.15376648813751 38.7552880374282, -9.15381597093662 38.7553479572583, -9.15387882426044 38.7554287605073, -9.153963599172091 38.755534259377, -9.153999247017509 38.7555769257127, -9.154003973054239 38.7555824577775, -9.15400423536229 38.7555827562022, -9.154004727639061 38.755583353752, -9.15400711895437 38.7555862069999, -9.15401141829131 38.7555915380126, -9.1540201804586 38.7556022693892, -9.154040476994121 38.7556281748792, -9.15405203561687 38.7556432684305, -9.154103262045959 38.7557137827195, -9.15412072260014 38.755737776434, -9.154121908376309 38.7557394044561, -9.154190140812039 38.7558331613696, -9.154205646632141 38.7558545364828, -9.15422122791076 38.7558707963596, -9.154236519033519 38.7558792376798, -9.1542578001226 38.7558886092953, -9.154277176783291 38.7558963122607, -9.154309656270669 38.7559127857878, -9.15431623822677 38.7559193938315, -9.154328759843519 38.7559380368759, -9.15433031931885 38.7559413020176, -9.154336895885059 38.7559649117687, -9.154338738329709 38.7559883288681, -9.154339030282159 38.7559955855894, -9.15434308797229 38.756019998122, -9.154351000333319 38.7560423518096, -9.15436831625874 38.7560716595781, -9.154432990467599 38.7561600038248, -9.155393813224149 38.7574338596362, -9.155408144047881 38.7574425795741, -9.15541227899312 38.7574446804009, -9.15543132507378 38.7574521758478, -9.15543288993903 38.7574527299504, -9.15548019342525 38.7574696451394, -9.15548623100228 38.757471799204, -9.155504164070299 38.7574802025073, -9.155510422632879 38.7574836931423, -9.15551493756549 38.7574863886997, -9.155525143325409 38.7574932950144, -9.155585573892919 38.7575416391987, -9.155589001864049 38.7575443823885, -9.15559052720339 38.7575459949581, -9.15559782242182 38.7575552857964, -9.155598911179929 38.7575653668063, -9.15558014178038 38.7576150026774, -9.15558034120637 38.7576202817011, -9.15558179018892 38.7576237821363, -9.15558808468411 38.7576328908325, -9.155598027237691 38.7576430741055, -9.155623883446509 38.7576639134893, -9.155645181603591 38.7576809470139, -9.15566579883768 38.7577045057531, -9.155671742989901 38.7577153369843, -9.15572019991297 38.7578036441712, -9.15573413996956 38.7578290487014, -9.155778485303539 38.7579098617507, -9.15582932096549 38.7580035205446, -9.15583458958463 38.7580129318099, -9.15585194593422 38.7580448173214, -9.15585659561413 38.7580506167871, -9.155862103185131 38.7580532569834, -9.155937046036019 38.7580639417566, -9.1560120293111 38.7581121377483)"
26,106,35304,Avenida do Pacífico,Principal,Circular Exterior,Pista Ciclável Bidirecional,Executado,9196,,80b72e64-d03a-4e07-b37c-ca8e1e902b98,167.164527499799,"LINESTRING (-9.09597673852441 38.7666396231358, -9.096136177809241 38.7666582577762, -9.0961948306108 38.7666648998459, -9.096312509913 38.7666778519851, -9.096500441063711 38.7666988169071, -9.096801130545479 38.7667323620303, -9.0970642336175 38.7667617130371, -9.097381135893521 38.7667970722114, -9.097436929357521 38.7668034095867, -9.09746312512951 38.7668061909434)"
27,108,67007,Avenida Sacadura Cabral,Local,,30+Bici,Executado,9196,,1159677a-a7d5-4084-9831-da92d44faa89,115.230963860682,"LINESTRING (-9.14116936439928 38.7446285343914, -9.142115049644939 38.7443002259495)"
28,120,100206,Estrada da Serafina,Local,,Trilho,Executado,9196,,3eb01575-36f5-416e-bf6a-519645f59af1,452.411521453505,"LINESTRING (-9.20143363934514 38.7361514529331, -9.201064544052789 38.7364970217065, -9.20081599368838 38.7369674267151, -9.20038093061315 38.7376461613547, -9.200254974233889 38.7377769559274, -9.200170849702481 38.7378643096003, -9.19994812680085 38.7380822063294, -9.19963678779135 38.7383245742306, -9.199085212325439 38.7386799590121)"
29,121,67442,Rua Padre Domingos Maurício dos Santos,Local,,Trilho,Executado,9196,,86815672-8d6e-4468-8224-003d5d943c1a,804.307764881317,"LINESTRING (-9.171756135644239 38.7327229296841, -9.171760736815139 38.7327048096451, -9.17213016448415 38.7326532518095, -9.17333611502384 38.7321437189416, -9.174255111322431 38.7317010932994, -9.17521451653743 38.7312098317352, -9.1764188438214 38.7320035722392, -9.17768836723544 38.7328263087001)"
30,123,5958,Passeio do Adamastor,Local,,Percurso Ciclopedonal,Executado,9196,,4832f748-5084-4c2c-87d3-a9e63053693f,180.023395191721,"LINESTRING (-9.09578898434183 38.7586799299208, -9.095755031617371 38.7586721999364, -9.09572633583392 38.7586707064768, -9.095697640050471 38.7586692123165, -9.095668943368731 38.7586677181563, -9.09564024758531 38.7586662253969, -9.095611550005231 38.7586647312366, -9.09549676507485 38.7586587566965, -9.09543937350799 38.7586557683755, -9.095324587679309 38.7586497938347, -9.095238499430669 38.7586453120531, -9.095152410283729 38.7586408302712, -9.095066321136789 38.758636348489, -9.094980232888179 38.7586318667066, -9.09492284042299 38.758628879085, -9.094836751276061 38.7586243973021, -9.094750662129121 38.7586199155189, -9.094664573880481 38.7586154330349, -9.09460718051699 38.7586124454126, -9.094492396484929 38.7586064701676, -9.094406308236289 38.7586019876828, -9.094291522407611 38.7585960110359, -9.09417673747723 38.7585900350891)"
31,124,34187,Avenida da Liberdade,Principal,Central,30+Bici,Executado,9196,,985b4606-5259-4357-a3a2-241df81a3ac1,34.195670220637,"LINESTRING (-9.14362671663876 38.717348292656, -9.143457865704701 38.7171480697731)"
32,133,5968,Passeio dos Heróis do Mar,Local,,Percurso Ciclopedonal,Executado,9196,,0219e88c-cf15-44a7-83d1-f0ff930cf339,134.278528539049,"LINESTRING (-9.09192425142817 38.778339034849, -9.091930010527459 38.7776960135562, -9.09196228519901 38.777399752983)"
