,County_of_Origin,Period,AgeClassDescription,unemployed_number
1220,ferreira do zêzere,Sep-19 to Feb-20,35-44,49
1221,figueira da foz,Sep-19 to Feb-20,35-44,869
1222,figueira de castelo rodrigo,Sep-19 to Feb-20,35-44,67
1223,figueiró dos vinhos,Sep-19 to Feb-20,35-44,71
1224,fornos de algodres,Sep-19 to Feb-20,35-44,50
1225,freixo espada à cinta,Sep-19 to Feb-20,35-44,82
1226,fronteira,Sep-19 to Feb-20,35-44,46
1227,fundão,Sep-19 to Feb-20,35-44,260
1228,gavião,Sep-19 to Feb-20,35-44,33
1229,golegã,Sep-19 to Feb-20,35-44,35
1230,gondomar,Sep-19 to Feb-20,35-44,2517
1231,gouveia,Sep-19 to Feb-20,35-44,163
1232,grândola,Sep-19 to Feb-20,35-44,127
1233,guarda,Sep-19 to Feb-20,35-44,494
1234,guimarães,Sep-19 to Feb-20,35-44,2101
1235,góis,Sep-19 to Feb-20,35-44,46
1236,idanha-a-nova,Sep-19 to Feb-20,35-44,124
1237,lagoa,Sep-19 to Feb-20,35-44,425
1238,lagos,Sep-19 to Feb-20,35-44,554
1239,lamego,Sep-19 to Feb-20,35-44,737
1240,leiria,Sep-19 to Feb-20,35-44,1007
1241,lisboa,Sep-19 to Feb-20,35-44,6826
1242,lisboa vt,Sep-19 to Feb-20,35-44,39702
1243,loulé,Sep-19 to Feb-20,35-44,1009
1244,loures,Sep-19 to Feb-20,35-44,2132
1245,lourinhã,Sep-19 to Feb-20,35-44,247
1246,lousada,Sep-19 to Feb-20,35-44,463
1247,lousã,Sep-19 to Feb-20,35-44,200
1248,macedo de cavaleiros,Sep-19 to Feb-20,35-44,228
1249,mafra,Sep-19 to Feb-20,35-44,745
1250,maia,Sep-19 to Feb-20,35-44,1640
1251,mangualde,Sep-19 to Feb-20,35-44,216
1252,manteigas,Sep-19 to Feb-20,35-44,25
1253,marco de canaveses,Sep-19 to Feb-20,35-44,959
1254,marinha grande,Sep-19 to Feb-20,35-44,504
1255,marvão,Sep-19 to Feb-20,35-44,24
1256,matosinhos,Sep-19 to Feb-20,35-44,2636
1257,mação,Sep-19 to Feb-20,35-44,66
1258,mealhada,Sep-19 to Feb-20,35-44,157
1259,meda,Sep-19 to Feb-20,35-44,23
1260,melgaço,Sep-19 to Feb-20,35-44,38
1261,mesão frio,Sep-19 to Feb-20,35-44,109
1262,mira,Sep-19 to Feb-20,35-44,143
1263,miranda do corvo,Sep-19 to Feb-20,35-44,93
1264,miranda do douro,Sep-19 to Feb-20,35-44,64
1265,mirandela,Sep-19 to Feb-20,35-44,362
1266,mogadouro,Sep-19 to Feb-20,35-44,122
1267,moimenta da beira,Sep-19 to Feb-20,35-44,260
1268,moita,Sep-19 to Feb-20,35-44,1024
1269,monchique,Sep-19 to Feb-20,35-44,63
1270,mondim de basto,Sep-19 to Feb-20,35-44,116
1271,monforte,Sep-19 to Feb-20,35-44,68
1272,montalegre,Sep-19 to Feb-20,35-44,106
1273,montemor-o-novo,Sep-19 to Feb-20,35-44,119
1274,montemor-o-velho,Sep-19 to Feb-20,35-44,239
1275,montijo,Sep-19 to Feb-20,35-44,846
1276,monção,Sep-19 to Feb-20,35-44,126
1277,mora,Sep-19 to Feb-20,35-44,24
1278,mortágua,Sep-19 to Feb-20,35-44,41
1279,moura,Sep-19 to Feb-20,35-44,363
1280,mourão,Sep-19 to Feb-20,35-44,74
1281,murtosa,Sep-19 to Feb-20,35-44,87
1282,murça,Sep-19 to Feb-20,35-44,141
1283,mértola,Sep-19 to Feb-20,35-44,85
1284,nazaré,Sep-19 to Feb-20,35-44,131
1285,nelas,Sep-19 to Feb-20,35-44,149
1286,nisa,Sep-19 to Feb-20,35-44,63
1287,norte,Sep-19 to Feb-20,35-44,50719
1288,odemira,Sep-19 to Feb-20,35-44,437
1289,odivelas,Sep-19 to Feb-20,35-44,1349
1290,oeiras,Sep-19 to Feb-20,35-44,1681
1291,oleiros,Sep-19 to Feb-20,35-44,23
1292,olhão,Sep-19 to Feb-20,35-44,409
1293,oliveira de azeméis,Sep-19 to Feb-20,35-44,521
1294,oliveira de frades,Sep-19 to Feb-20,35-44,133
1295,oliveira do bairro,Sep-19 to Feb-20,35-44,190
1296,oliveira do hospital,Sep-19 to Feb-20,35-44,237
1297,ourique,Sep-19 to Feb-20,35-44,65
1298,ourém,Sep-19 to Feb-20,35-44,219
1299,ovar,Sep-19 to Feb-20,35-44,681
1300,palmela,Sep-19 to Feb-20,35-44,646
1301,pampilhosa da serra,Sep-19 to Feb-20,35-44,43
1302,paredes,Sep-19 to Feb-20,35-44,1193
1303,paredes de coura,Sep-19 to Feb-20,35-44,71
1304,paços de ferreira,Sep-19 to Feb-20,35-44,602
1305,pedrógão grande,Sep-19 to Feb-20,35-44,43
1306,penacova,Sep-19 to Feb-20,35-44,70
1307,penafiel,Sep-19 to Feb-20,35-44,934
1308,penalva do castelo,Sep-19 to Feb-20,35-44,87
1309,penamacor,Sep-19 to Feb-20,35-44,45
1310,penedono,Sep-19 to Feb-20,35-44,35
1311,penela,Sep-19 to Feb-20,35-44,26
1312,peniche,Sep-19 to Feb-20,35-44,332
1313,peso da régua,Sep-19 to Feb-20,35-44,422
1314,pinhel,Sep-19 to Feb-20,35-44,53
1315,pombal,Sep-19 to Feb-20,35-44,370
1316,ponte da barca,Sep-19 to Feb-20,35-44,98
1317,ponte de lima,Sep-19 to Feb-20,35-44,206
1318,ponte de sôr,Sep-19 to Feb-20,35-44,173
1319,portalegre,Sep-19 to Feb-20,35-44,234
1320,portel,Sep-19 to Feb-20,35-44,68
1321,portimão,Sep-19 to Feb-20,35-44,1252
1322,porto,Sep-19 to Feb-20,35-44,4247
1323,porto de mós,Sep-19 to Feb-20,35-44,140
1324,proença-a-nova,Sep-19 to Feb-20,35-44,56
1325,póvoa de lanhoso,Sep-19 to Feb-20,35-44,285
1326,póvoa de varzim,Sep-19 to Feb-20,35-44,868
1327,redondo,Sep-19 to Feb-20,35-44,73
1328,reguengos de monsaraz,Sep-19 to Feb-20,35-44,147
1329,resende,Sep-19 to Feb-20,35-44,216
1330,ribeira de pena,Sep-19 to Feb-20,35-44,108
1331,rio maior,Sep-19 to Feb-20,35-44,153
1332,sabrosa,Sep-19 to Feb-20,35-44,98
1333,sabugal,Sep-19 to Feb-20,35-44,97
1334,salvaterra de magos,Sep-19 to Feb-20,35-44,323
1335,santa comba dão,Sep-19 to Feb-20,35-44,105
1336,santa maria da feira,Sep-19 to Feb-20,35-44,1758
1337,santa marta de penaguião,Sep-19 to Feb-20,35-44,181
1338,santarém,Sep-19 to Feb-20,35-44,538
1339,santiago do cacém,Sep-19 to Feb-20,35-44,312
1340,santo tirso,Sep-19 to Feb-20,35-44,936
1341,sardoal,Sep-19 to Feb-20,35-44,56
1342,seia,Sep-19 to Feb-20,35-44,216
1343,seixal,Sep-19 to Feb-20,35-44,1789
1344,sernancelhe,Sep-19 to Feb-20,35-44,61
1345,serpa,Sep-19 to Feb-20,35-44,247
1346,sertã,Sep-19 to Feb-20,35-44,170
1347,sesimbra,Sep-19 to Feb-20,35-44,492
1348,setúbal,Sep-19 to Feb-20,35-44,1568
1349,sever do vouga,Sep-19 to Feb-20,35-44,77
1350,silves,Sep-19 to Feb-20,35-44,560
1351,sines,Sep-19 to Feb-20,35-44,241
1352,sintra,Sep-19 to Feb-20,35-44,3666
1353,sobral monte agraço,Sep-19 to Feb-20,35-44,85
1354,soure,Sep-19 to Feb-20,35-44,144
1355,sousel,Sep-19 to Feb-20,35-44,64
1356,sátão,Sep-19 to Feb-20,35-44,151
1357,são brás de alportel,Sep-19 to Feb-20,35-44,92
1358,são joão da madeira,Sep-19 to Feb-20,35-44,297
1359,são joão da pesqueira,Sep-19 to Feb-20,35-44,82
1360,são pedro do sul,Sep-19 to Feb-20,35-44,190
1361,tabuaço,Sep-19 to Feb-20,35-44,134
1362,tarouca,Sep-19 to Feb-20,35-44,173
1363,tavira,Sep-19 to Feb-20,35-44,252
1364,terras de bouro,Sep-19 to Feb-20,35-44,112
1365,tomar,Sep-19 to Feb-20,35-44,326
1366,tondela,Sep-19 to Feb-20,35-44,196
1367,torre de moncorvo,Sep-19 to Feb-20,35-44,113
1368,torres novas,Sep-19 to Feb-20,35-44,283
1369,torres vedras,Sep-19 to Feb-20,35-44,801
1370,trancoso,Sep-19 to Feb-20,35-44,70
1371,trofa,Sep-19 to Feb-20,35-44,414
1372,tábua,Sep-19 to Feb-20,35-44,139
1373,vagos,Sep-19 to Feb-20,35-44,180
1374,vale de cambra,Sep-19 to Feb-20,35-44,158
1375,valença,Sep-19 to Feb-20,35-44,148
1376,valongo,Sep-19 to Feb-20,35-44,1589
1377,valpaços,Sep-19 to Feb-20,35-44,186
1378,vendas novas,Sep-19 to Feb-20,35-44,69
1379,viana do alentejo,Sep-19 to Feb-20,35-44,76
1380,viana do castelo,Sep-19 to Feb-20,35-44,662
1381,vidigueira,Sep-19 to Feb-20,35-44,90
1382,vieira do minho,Sep-19 to Feb-20,35-44,237
1383,vila de rei,Sep-19 to Feb-20,35-44,20
1384,vila do bispo,Sep-19 to Feb-20,35-44,83
1385,vila do conde,Sep-19 to Feb-20,35-44,1037
1386,vila flor,Sep-19 to Feb-20,35-44,114
1387,vila franca de xira,Sep-19 to Feb-20,35-44,1331
1388,vila nova da barquinha,Sep-19 to Feb-20,35-44,53
1389,vila nova de cerveira,Sep-19 to Feb-20,35-44,81
1390,vila nova de famalicão,Sep-19 to Feb-20,35-44,1359
1391,vila nova de foz côa,Sep-19 to Feb-20,35-44,76
1392,vila nova de gaia,Sep-19 to Feb-20,35-44,6083
1393,vila nova de paiva,Sep-19 to Feb-20,35-44,80
1394,vila nova de poiares,Sep-19 to Feb-20,35-44,63
1395,vila pouca de aguiar,Sep-19 to Feb-20,35-44,170
1396,vila real,Sep-19 to Feb-20,35-44,993
1397,vila real de santo antónio,Sep-19 to Feb-20,35-44,281
1398,vila velha de rodão,Sep-19 to Feb-20,35-44,21
1399,vila verde,Sep-19 to Feb-20,35-44,457
1400,vila viçosa,Sep-19 to Feb-20,35-44,99
1401,vimioso,Sep-19 to Feb-20,35-44,43
1402,vinhais,Sep-19 to Feb-20,35-44,103
1403,viseu,Sep-19 to Feb-20,35-44,1208
1404,vizela,Sep-19 to Feb-20,35-44,257
1405,vouzela,Sep-19 to Feb-20,35-44,113
1406,águeda,Sep-19 to Feb-20,35-44,350
1407,évora,Sep-19 to Feb-20,35-44,636
1408,ílhavo,Sep-19 to Feb-20,35-44,490
1409,óbidos,Sep-19 to Feb-20,35-44,78
1410,abrantes,Sep-20 to Jan-21,35-44,598
1411,aguiar da beira,Sep-20 to Jan-21,35-44,50
1412,alandroal,Sep-20 to Jan-21,35-44,70
1413,albergaria-a-velha,Sep-20 to Jan-21,35-44,289
1414,albufeira,Sep-20 to Jan-21,35-44,2285
1415,alcanena,Sep-20 to Jan-21,35-44,113
1416,alcobaça,Sep-20 to Jan-21,35-44,521
1417,alcochete,Sep-20 to Jan-21,35-44,247
1418,alcoutim,Sep-20 to Jan-21,35-44,16
1419,alcácer do sal,Sep-20 to Jan-21,35-44,134
1420,alenquer,Sep-20 to Jan-21,35-44,755
1421,alentejo,Sep-20 to Jan-21,35-44,7498
1422,alfândega da fé,Sep-20 to Jan-21,35-44,71
1423,alijó,Sep-20 to Jan-21,35-44,228
1424,aljezur,Sep-20 to Jan-21,35-44,85
1425,aljustrel,Sep-20 to Jan-21,35-44,108
1426,almada,Sep-20 to Jan-21,35-44,3017
1427,almeida,Sep-20 to Jan-21,35-44,37
1428,almeirim,Sep-20 to Jan-21,35-44,247
1429,almodôvar,Sep-20 to Jan-21,35-44,96
1430,alpiarça,Sep-20 to Jan-21,35-44,57
1431,alter do chão,Sep-20 to Jan-21,35-44,52
1432,alvaiázere,Sep-20 to Jan-21,35-44,38
1433,alvito,Sep-20 to Jan-21,35-44,32
1434,amadora,Sep-20 to Jan-21,35-44,2678
1435,amarante,Sep-20 to Jan-21,35-44,946
1436,amares,Sep-20 to Jan-21,35-44,257
1437,anadia,Sep-20 to Jan-21,35-44,220
1438,ansião,Sep-20 to Jan-21,35-44,84
1439,arcos de valdevez,Sep-20 to Jan-21,35-44,216
1440,arganil,Sep-20 to Jan-21,35-44,133
1441,armamar,Sep-20 to Jan-21,35-44,92
1442,arouca,Sep-20 to Jan-21,35-44,204
1443,arraiolos,Sep-20 to Jan-21,35-44,70
1444,arronches,Sep-20 to Jan-21,35-44,30
1445,arruda dos vinhos,Sep-20 to Jan-21,35-44,175
1446,aveiro,Sep-20 to Jan-21,35-44,1147
1447,avis,Sep-20 to Jan-21,35-44,55
1448,azambuja,Sep-20 to Jan-21,35-44,259
1449,baião,Sep-20 to Jan-21,35-44,473
1450,barcelos,Sep-20 to Jan-21,35-44,1021
1451,barrancos,Sep-20 to Jan-21,35-44,40
1452,barreiro,Sep-20 to Jan-21,35-44,1488
1453,batalha,Sep-20 to Jan-21,35-44,149
1454,beja,Sep-20 to Jan-21,35-44,551
1455,belmonte,Sep-20 to Jan-21,35-44,101
1456,benavente,Sep-20 to Jan-21,35-44,442
1457,bombarral,Sep-20 to Jan-21,35-44,157
1458,borba,Sep-20 to Jan-21,35-44,101
1459,boticas,Sep-20 to Jan-21,35-44,55
1460,braga,Sep-20 to Jan-21,35-44,3098
1461,bragança,Sep-20 to Jan-21,35-44,368
1462,cabeceiras de basto,Sep-20 to Jan-21,35-44,274
1463,cadaval,Sep-20 to Jan-21,35-44,163
1464,caldas da rainha,Sep-20 to Jan-21,35-44,734
1465,caminha,Sep-20 to Jan-21,35-44,162
1466,campo maior,Sep-20 to Jan-21,35-44,172
1467,cantanhede,Sep-20 to Jan-21,35-44,349
1468,carrazeda de ansiães,Sep-20 to Jan-21,35-44,100
1469,carregal do sal,Sep-20 to Jan-21,35-44,111
1470,cartaxo,Sep-20 to Jan-21,35-44,254
1471,cascais,Sep-20 to Jan-21,35-44,3511
1472,castanheira de pera,Sep-20 to Jan-21,35-44,25
1473,castelo branco,Sep-20 to Jan-21,35-44,627
1474,castelo de paiva,Sep-20 to Jan-21,35-44,296
1475,castelo de vide,Sep-20 to Jan-21,35-44,20
1476,castro daire,Sep-20 to Jan-21,35-44,212
1477,castro marim,Sep-20 to Jan-21,35-44,107
1478,castro verde,Sep-20 to Jan-21,35-44,103
1479,celorico da beira,Sep-20 to Jan-21,35-44,90
1480,celorico de basto,Sep-20 to Jan-21,35-44,306
1481,centro,Sep-20 to Jan-21,35-44,19791
1482,chamusca,Sep-20 to Jan-21,35-44,68
1483,chaves,Sep-20 to Jan-21,35-44,503
1484,cinfães,Sep-20 to Jan-21,35-44,433
1485,coimbra,Sep-20 to Jan-21,35-44,1840
1486,condeixa-a-nova,Sep-20 to Jan-21,35-44,160
1487,constância,Sep-20 to Jan-21,35-44,59
1488,coruche,Sep-20 to Jan-21,35-44,247
1489,covilhã,Sep-20 to Jan-21,35-44,671
1490,crato,Sep-20 to Jan-21,35-44,48
1491,cuba,Sep-20 to Jan-21,35-44,79
1492,elvas,Sep-20 to Jan-21,35-44,467
1493,entroncamento,Sep-20 to Jan-21,35-44,246
1494,espinho,Sep-20 to Jan-21,35-44,645
1495,esposende,Sep-20 to Jan-21,35-44,293
1496,estarreja,Sep-20 to Jan-21,35-44,327
1497,estremoz,Sep-20 to Jan-21,35-44,154
1498,fafe,Sep-20 to Jan-21,35-44,836
1499,faro,Sep-20 to Jan-21,35-44,1094
1500,felgueiras,Sep-20 to Jan-21,35-44,998
1501,ferreira do alentejo,Sep-20 to Jan-21,35-44,93
1502,ferreira do zêzere,Sep-20 to Jan-21,35-44,44
1503,figueira da foz,Sep-20 to Jan-21,35-44,989
1504,figueira de castelo rodrigo,Sep-20 to Jan-21,35-44,74
1505,figueiró dos vinhos,Sep-20 to Jan-21,35-44,50
1506,fornos de algodres,Sep-20 to Jan-21,35-44,51
1507,freixo espada à cinta,Sep-20 to Jan-21,35-44,81
1508,fronteira,Sep-20 to Jan-21,35-44,48
1509,fundão,Sep-20 to Jan-21,35-44,314
1510,gavião,Sep-20 to Jan-21,35-44,38
1511,golegã,Sep-20 to Jan-21,35-44,45
1512,gondomar,Sep-20 to Jan-21,35-44,3319
1513,gouveia,Sep-20 to Jan-21,35-44,164
1514,grândola,Sep-20 to Jan-21,35-44,142
1515,guarda,Sep-20 to Jan-21,35-44,477
1516,guimarães,Sep-20 to Jan-21,35-44,2746
1517,góis,Sep-20 to Jan-21,35-44,43
1518,idanha-a-nova,Sep-20 to Jan-21,35-44,143
1519,lagoa,Sep-20 to Jan-21,35-44,626
1520,lagos,Sep-20 to Jan-21,35-44,780
1521,lamego,Sep-20 to Jan-21,35-44,717
1522,leiria,Sep-20 to Jan-21,35-44,1490
1523,lisboa,Sep-20 to Jan-21,35-44,9202
1524,lisboa vt,Sep-20 to Jan-21,35-44,56641
1525,loulé,Sep-20 to Jan-21,35-44,1931
1526,loures,Sep-20 to Jan-21,35-44,3486
1527,lourinhã,Sep-20 to Jan-21,35-44,346
1528,lousada,Sep-20 to Jan-21,35-44,612
1529,lousã,Sep-20 to Jan-21,35-44,237
1530,macedo de cavaleiros,Sep-20 to Jan-21,35-44,195
1531,mafra,Sep-20 to Jan-21,35-44,1055
1532,maia,Sep-20 to Jan-21,35-44,2191
1533,mangualde,Sep-20 to Jan-21,35-44,276
1534,manteigas,Sep-20 to Jan-21,35-44,45
1535,marco de canaveses,Sep-20 to Jan-21,35-44,1149
1536,marinha grande,Sep-20 to Jan-21,35-44,728
1537,marvão,Sep-20 to Jan-21,35-44,33
1538,matosinhos,Sep-20 to Jan-21,35-44,3126
1539,mação,Sep-20 to Jan-21,35-44,68
1540,mealhada,Sep-20 to Jan-21,35-44,184
1541,meda,Sep-20 to Jan-21,35-44,38
1542,melgaço,Sep-20 to Jan-21,35-44,44
1543,mesão frio,Sep-20 to Jan-21,35-44,106
1544,mira,Sep-20 to Jan-21,35-44,145
1545,miranda do corvo,Sep-20 to Jan-21,35-44,96
1546,miranda do douro,Sep-20 to Jan-21,35-44,69
1547,mirandela,Sep-20 to Jan-21,35-44,331
1548,mogadouro,Sep-20 to Jan-21,35-44,111
1549,moimenta da beira,Sep-20 to Jan-21,35-44,261
1550,moita,Sep-20 to Jan-21,35-44,1316
1551,monchique,Sep-20 to Jan-21,35-44,60
1552,mondim de basto,Sep-20 to Jan-21,35-44,122
1553,monforte,Sep-20 to Jan-21,35-44,74
1554,montalegre,Sep-20 to Jan-21,35-44,92
1555,montemor-o-novo,Sep-20 to Jan-21,35-44,138
1556,montemor-o-velho,Sep-20 to Jan-21,35-44,272
1557,montijo,Sep-20 to Jan-21,35-44,1083
1558,monção,Sep-20 to Jan-21,35-44,182
1559,mora,Sep-20 to Jan-21,35-44,31
1560,mortágua,Sep-20 to Jan-21,35-44,53
1561,moura,Sep-20 to Jan-21,35-44,370
1562,mourão,Sep-20 to Jan-21,35-44,73
1563,murtosa,Sep-20 to Jan-21,35-44,94
1564,murça,Sep-20 to Jan-21,35-44,140
1565,mértola,Sep-20 to Jan-21,35-44,94
1566,nazaré,Sep-20 to Jan-21,35-44,210
1567,nelas,Sep-20 to Jan-21,35-44,185
1568,nisa,Sep-20 to Jan-21,35-44,72
1569,norte,Sep-20 to Jan-21,35-44,61538
1570,odemira,Sep-20 to Jan-21,35-44,654
1571,odivelas,Sep-20 to Jan-21,35-44,2453
1572,oeiras,Sep-20 to Jan-21,35-44,2505
1573,oleiros,Sep-20 to Jan-21,35-44,22
1574,olhão,Sep-20 to Jan-21,35-44,709
1575,oliveira de azeméis,Sep-20 to Jan-21,35-44,714
1576,oliveira de frades,Sep-20 to Jan-21,35-44,137
1577,oliveira do bairro,Sep-20 to Jan-21,35-44,248
1578,oliveira do hospital,Sep-20 to Jan-21,35-44,256
1579,ourique,Sep-20 to Jan-21,35-44,71
1580,ourém,Sep-20 to Jan-21,35-44,356
1581,ovar,Sep-20 to Jan-21,35-44,815
1582,palmela,Sep-20 to Jan-21,35-44,913
1583,pampilhosa da serra,Sep-20 to Jan-21,35-44,32
1584,paredes,Sep-20 to Jan-21,35-44,1495
1585,paredes de coura,Sep-20 to Jan-21,35-44,107
1586,paços de ferreira,Sep-20 to Jan-21,35-44,769
1587,pedrógão grande,Sep-20 to Jan-21,35-44,40
1588,penacova,Sep-20 to Jan-21,35-44,76
1589,penafiel,Sep-20 to Jan-21,35-44,1187
1590,penalva do castelo,Sep-20 to Jan-21,35-44,105
1591,penamacor,Sep-20 to Jan-21,35-44,61
1592,penedono,Sep-20 to Jan-21,35-44,36
1593,penela,Sep-20 to Jan-21,35-44,29
1594,peniche,Sep-20 to Jan-21,35-44,432
1595,peso da régua,Sep-20 to Jan-21,35-44,429
1596,pinhel,Sep-20 to Jan-21,35-44,60
1597,pombal,Sep-20 to Jan-21,35-44,449
1598,ponte da barca,Sep-20 to Jan-21,35-44,114
1599,ponte de lima,Sep-20 to Jan-21,35-44,348
1600,ponte de sôr,Sep-20 to Jan-21,35-44,173
1601,portalegre,Sep-20 to Jan-21,35-44,268
1602,portel,Sep-20 to Jan-21,35-44,90
1603,portimão,Sep-20 to Jan-21,35-44,1810
1604,porto,Sep-20 to Jan-21,35-44,5202
1605,porto de mós,Sep-20 to Jan-21,35-44,216
1606,proença-a-nova,Sep-20 to Jan-21,35-44,47
1607,póvoa de lanhoso,Sep-20 to Jan-21,35-44,323
1608,póvoa de varzim,Sep-20 to Jan-21,35-44,995
1609,redondo,Sep-20 to Jan-21,35-44,106
1610,reguengos de monsaraz,Sep-20 to Jan-21,35-44,189
1611,resende,Sep-20 to Jan-21,35-44,244
1612,ribeira de pena,Sep-20 to Jan-21,35-44,100
1613,rio maior,Sep-20 to Jan-21,35-44,166
1614,sabrosa,Sep-20 to Jan-21,35-44,113
1615,sabugal,Sep-20 to Jan-21,35-44,82
1616,salvaterra de magos,Sep-20 to Jan-21,35-44,324
1617,santa comba dão,Sep-20 to Jan-21,35-44,120
1618,santa maria da feira,Sep-20 to Jan-21,35-44,2184
1619,santa marta de penaguião,Sep-20 to Jan-21,35-44,170
1620,santarém,Sep-20 to Jan-21,35-44,610
1621,santiago do cacém,Sep-20 to Jan-21,35-44,380
1622,santo tirso,Sep-20 to Jan-21,35-44,997
1623,sardoal,Sep-20 to Jan-21,35-44,54
1624,seia,Sep-20 to Jan-21,35-44,241
1625,seixal,Sep-20 to Jan-21,35-44,2576
1626,sernancelhe,Sep-20 to Jan-21,35-44,69
1627,serpa,Sep-20 to Jan-21,35-44,277
1628,sertã,Sep-20 to Jan-21,35-44,206
1629,sesimbra,Sep-20 to Jan-21,35-44,662
1630,setúbal,Sep-20 to Jan-21,35-44,2144
1631,sever do vouga,Sep-20 to Jan-21,35-44,68
1632,silves,Sep-20 to Jan-21,35-44,898
1633,sines,Sep-20 to Jan-21,35-44,375
1634,sintra,Sep-20 to Jan-21,35-44,6154
1635,sobral monte agraço,Sep-20 to Jan-21,35-44,103
1636,soure,Sep-20 to Jan-21,35-44,171
1637,sousel,Sep-20 to Jan-21,35-44,68
1638,sátão,Sep-20 to Jan-21,35-44,151
1639,são brás de alportel,Sep-20 to Jan-21,35-44,134
1640,são joão da madeira,Sep-20 to Jan-21,35-44,389
1641,são joão da pesqueira,Sep-20 to Jan-21,35-44,83
1642,são pedro do sul,Sep-20 to Jan-21,35-44,220
1643,tabuaço,Sep-20 to Jan-21,35-44,127
1644,tarouca,Sep-20 to Jan-21,35-44,172
1645,tavira,Sep-20 to Jan-21,35-44,412
1646,terras de bouro,Sep-20 to Jan-21,35-44,118
1647,tomar,Sep-20 to Jan-21,35-44,359
1648,tondela,Sep-20 to Jan-21,35-44,250
1649,torre de moncorvo,Sep-20 to Jan-21,35-44,124
1650,torres novas,Sep-20 to Jan-21,35-44,320
1651,torres vedras,Sep-20 to Jan-21,35-44,1133
1652,trancoso,Sep-20 to Jan-21,35-44,62
1653,trofa,Sep-20 to Jan-21,35-44,519
1654,tábua,Sep-20 to Jan-21,35-44,143
1655,vagos,Sep-20 to Jan-21,35-44,207
1656,vale de cambra,Sep-20 to Jan-21,35-44,179
1657,valença,Sep-20 to Jan-21,35-44,242
1658,valongo,Sep-20 to Jan-21,35-44,1982
1659,valpaços,Sep-20 to Jan-21,35-44,163
1660,vendas novas,Sep-20 to Jan-21,35-44,122
1661,viana do alentejo,Sep-20 to Jan-21,35-44,86
1662,viana do castelo,Sep-20 to Jan-21,35-44,966
1663,vidigueira,Sep-20 to Jan-21,35-44,100
1664,vieira do minho,Sep-20 to Jan-21,35-44,249
1665,vila de rei,Sep-20 to Jan-21,35-44,30
1666,vila do bispo,Sep-20 to Jan-21,35-44,120
1667,vila do conde,Sep-20 to Jan-21,35-44,1283
1668,vila flor,Sep-20 to Jan-21,35-44,139
1669,vila franca de xira,Sep-20 to Jan-21,35-44,2030
1670,vila nova da barquinha,Sep-20 to Jan-21,35-44,68
1671,vila nova de cerveira,Sep-20 to Jan-21,35-44,108
1672,vila nova de famalicão,Sep-20 to Jan-21,35-44,1880
1673,vila nova de foz côa,Sep-20 to Jan-21,35-44,96
1674,vila nova de gaia,Sep-20 to Jan-21,35-44,7401
1675,vila nova de paiva,Sep-20 to Jan-21,35-44,58
1676,vila nova de poiares,Sep-20 to Jan-21,35-44,89
1677,vila pouca de aguiar,Sep-20 to Jan-21,35-44,165
1678,vila real,Sep-20 to Jan-21,35-44,1010
1679,vila real de santo antónio,Sep-20 to Jan-21,35-44,453
1680,vila velha de rodão,Sep-20 to Jan-21,35-44,25
1681,vila verde,Sep-20 to Jan-21,35-44,525
1682,vila viçosa,Sep-20 to Jan-21,35-44,88
1683,vimioso,Sep-20 to Jan-21,35-44,44
1684,vinhais,Sep-20 to Jan-21,35-44,93
1685,viseu,Sep-20 to Jan-21,35-44,1369
1686,vizela,Sep-20 to Jan-21,35-44,382
1687,vouzela,Sep-20 to Jan-21,35-44,132
1688,águeda,Sep-20 to Jan-21,35-44,443
1689,évora,Sep-20 to Jan-21,35-44,844
1690,ílhavo,Sep-20 to Jan-21,35-44,534
1691,óbidos,Sep-20 to Jan-21,35-44,133
1692,abrantes,Sep-19 to Feb-20,55-64,355
1693,aguiar da beira,Sep-19 to Feb-20,55-64,51
1694,alandroal,Sep-19 to Feb-20,55-64,39
1695,albergaria-a-velha,Sep-19 to Feb-20,55-64,113
1696,albufeira,Sep-19 to Feb-20,55-64,485
1697,alcanena,Sep-19 to Feb-20,55-64,41
1698,alcobaça,Sep-19 to Feb-20,55-64,282
1699,alcochete,Sep-19 to Feb-20,55-64,104
1700,alcoutim,Sep-19 to Feb-20,55-64,8
1701,alcácer do sal,Sep-19 to Feb-20,55-64,59
1702,alenquer,Sep-19 to Feb-20,55-64,206
1703,alentejo,Sep-19 to Feb-20,55-64,3396
1704,alfândega da fé,Sep-19 to Feb-20,55-64,58
1705,alijó,Sep-19 to Feb-20,55-64,190
1706,aljezur,Sep-19 to Feb-20,55-64,41
1707,aljustrel,Sep-19 to Feb-20,55-64,50
1708,almada,Sep-19 to Feb-20,55-64,1416
1709,almeida,Sep-19 to Feb-20,55-64,47
1710,almeirim,Sep-19 to Feb-20,55-64,125
1711,almodôvar,Sep-19 to Feb-20,55-64,68
1712,alpiarça,Sep-19 to Feb-20,55-64,42
1713,alter do chão,Sep-19 to Feb-20,55-64,25
1714,alvaiázere,Sep-19 to Feb-20,55-64,32
1715,alvito,Sep-19 to Feb-20,55-64,8
1716,amadora,Sep-19 to Feb-20,55-64,1014
1717,amarante,Sep-19 to Feb-20,55-64,711
1718,amares,Sep-19 to Feb-20,55-64,148
1719,anadia,Sep-19 to Feb-20,55-64,121
1720,ansião,Sep-19 to Feb-20,55-64,69
